station_name,county,latitude,longitude,nominal_depth,organic_matter,sand,silt,clay,textural_class,bulk_density,particle_density,porosity,field_capacity,wilting_point
Tribune,Greeley,38.46613,-101.77518,10,2.2,26,41,33,clay loam,1.41,2.70,48.0,43.3,25.0
Tribune,Greeley,38.46613,-101.77518,20,1.8,27,34,38,clay loam,1.35,2.69,49.8,40.9,26.3
Tribune,Greeley,38.46613,-101.77518,50,1.8,19,48,33,silty clay loam,1.28,2.63,51.4,43.0,19.3
Colby,Thomas,39.39246,-101.06875,5,3.1,19,50,31,silty clay loam,1.48,2.76,46.1,43.9,22.3
Colby,Thomas,39.39246,-101.06875,10,2.2,18,53,28,silty clay loam,1.47,2.65,44.4,43.0,20.8
Colby,Thomas,39.39246,-101.06875,20,1.9,16,56,28,silty clay loam,1.38,2.57,46.3,42.2,22.1
Colby,Thomas,39.39246,-101.06875,50,1.8,14,53,33,silty clay loam,1.43,2.63,45.4,42.8,28.7
Cheyenne,Cheyenne,39.62651,-101.8076,5,2.7,18,60,22,silt loam,1.3,2.57,49.4,45.3,16.9
Cheyenne,Cheyenne,39.62651,-101.8076,10,2.4,19,55,25,silt loam,1.39,2.57,46.0,40.4,19.4
Cheyenne,Cheyenne,39.62651,-101.8076,20,2.3,17,55,28,silty clay loam,1.44,2.58,44.3,42.2,22.0
Cheyenne,Cheyenne,39.62651,-101.8076,50,1.8,20,54,26,silt loam,1.24,2.63,52.9,42.6,17.2
Silver Lake 4E,Shawnee,39.0921,-95.78146,5,2.6,13,62,25,silt loam,1.47,2.60,43.4,39.7,16.7
Silver Lake 4E,Shawnee,39.0921,-95.78146,10,2.7,13,61,27,silt loam,1.62,2.56,36.7,35.4,18.6
Silver Lake 4E,Shawnee,39.0921,-95.78146,20,2.3,13,62,25,silt loam,1.53,2.71,43.4,36.4,17.2
Silver Lake 4E,Shawnee,39.0921,-95.78146,50,2.1,11,56,33,silty clay loam,1.47,2.68,45.0,41.2,20.4
Rossville 2SE,Shawnee,39.11663,-95.91563,5,1.5,49,40,11,loam,1.4,2.72,48.5,41.0,5.9
Rossville 2SE,Shawnee,39.11663,-95.91563,10,1.4,46,43,11,loam,1.52,2.74,44.7,34.8,5.1
Rossville 2SE,Shawnee,39.11663,-95.91563,20,0.9,52,38,10,loam,1.15,2.64,56.4,24.7,4.3
Rossville 2SE,Shawnee,39.11663,-95.91563,50,1.6,25,58,16,silt loam,1.39,2.57,46.1,37.7,9.7
Elmdale 1SE,Chase,38.36251,-96.61777,5,5.7,8,50,43,silty clay,1.25,2.64,52.6,46.1,23.9
Elmdale 1SE,Chase,38.36251,-96.61777,10,4.3,6,46,48,silty clay,1.3,2.56,49.4,46.1,25.7
Elmdale 1SE,Chase,38.36251,-96.61777,20,3.5,3,42,55,silty clay,1.4,2.56,45.3,45.5,29.8
Elmdale 1SE,Chase,38.36251,-96.61777,50,2.1,3,44,53,silty clay,1.53,2.68,43.0,40.9,30.2
Woodson,Woodson,37.86118,-95.78358,5,8.4,10,55,36,silty clay loam,1.03,2.55,59.4,53.0,21.5
Woodson,Woodson,37.86118,-95.78358,10,6.2,13,46,41,silty clay,1.19,2.73,56.4,48.7,22.8
Woodson,Woodson,37.86118,-95.78358,20,4.5,5,44,51,silty clay,1.29,2.68,52.0,50.7,26.4
Woodson,Woodson,37.86118,-95.78358,50,3.2,3,34,63,clay,1.31,2.67,51.1,51.5,37.1
Parsons,Labette,37.36762,-95.28836,5,2.4,16,64,20,silt loam,1.47,2.62,44.1,37.9,12.4
Parsons,Labette,37.36762,-95.28836,10,1.7,13,67,20,silt loam,1.55,2.63,41.0,38.3,13.4
Parsons,Labette,37.36762,-95.28836,20,1.6,13,67,20,silt loam,1.5,2.63,43.0,36.9,12.4
Parsons,Labette,37.36762,-95.28836,50,2.2,2,47,51,silty clay,1.41,2.68,47.5,46.7,31.5
Cherokee,Cherokee,37.19897,-94.98093,5,2.7,16,60,24,silt loam,1.35,2.63,48.4,44.8,12.4
Cherokee,Cherokee,37.19897,-94.98093,10,2.4,14,68,18,silt loam,1.32,2.64,50.0,40.4,8.7
Cherokee,Cherokee,37.19897,-94.98093,20,1.9,16,67,18,silt loam,1.44,2.62,45.1,41.0,9.0
Cherokee,Cherokee,37.19897,-94.98093,50,2.6,8,42,50,silty clay,1.35,2.67,49.5,48.6,25.1
Sedan,Chautauqua,37.16491,-96.22881,5,5.8,27,45,28,clay loam,1.31,2.58,49.3,45.8,18.4
Sedan,Chautauqua,37.16491,-96.22881,10,4.3,28,41,31,clay loam,1.29,2.65,51.5,37.2,16.1
Sedan,Chautauqua,37.16491,-96.22881,20,3.7,29,39,32,clay loam,1.45,2.68,45.7,39.8,17.9
Sedan,Chautauqua,37.16491,-96.22881,50,2.4,14,30,55,clay,1.5,2.69,44.0,39.8,25.9
Jewell,Jewell,39.68329,-98.21259,5,3.5,14,62,24,silt loam,1.38,2.48,44.2,47.7,15.8
Jewell,Jewell,39.68329,-98.21259,10,2.9,15,62,23,silt loam,1.27,2.57,50.7,45.0,12.7
Jewell,Jewell,39.68329,-98.21259,20,2.9,15,57,28,silty clay loam,1.32,2.58,48.8,49.6,16.3
Jewell,Jewell,39.68329,-98.21259,50,1.5,12,50,38,silty clay loam,1.57,2.60,39.6,43.0,27.8
Hays,Ellis,38.84941,-99.34457,5,4.4,15,58,27,silt loam,1.2,2.47,51.3,47.6,19.2
Hays,Ellis,38.84941,-99.34457,10,3.3,14,55,32,silty clay loam,1.26,2.60,51.4,44.4,19.5
Hays,Ellis,38.84941,-99.34457,20,2.8,12,45,43,silty clay,1.3,2.56,49.3,45.3,25.8
Hays,Ellis,38.84941,-99.34457,50,1.6,13,42,45,silty clay,1.52,2.66,42.9,42.9,29.2
